"","Region","Año","MI-RF","RF","MIa","MIb","MIc"
"52","Bolivia","X2002",3.4439194668606,23.1542633445167,26.5981828113773,19.393467964731,11.1830134600031
"59","Bolivia","X2009",-1.9980281736025,22.9237980923162,20.9257699187137,25.0938659682563,20.9776823107334
"60","Bolivia","X2010",-4.1384843121629,23.2587655742272,19.1202812620643,18.1826190047638,15.0482715561369
"92","China","X2002",1.3028481928275,20.2156046345395,21.518452827367,26.2703433422297,10.2531048499589
"95","China","X2005",1.1814474569406,20.0515541248193,21.2330015817599,19.0255335764377,14.1790104423872
"96","China","X2006",-2.5300064974924,20.007070438961,17.4770639414686,25.2023157737302,16.9206276845478
"122","Costa Rica","X2002",-2.0715790615865,15.8425711582135,13.770992096627,16.5406278100898,15.8512537307006
"142","El Salvador","X2002",-0.8524844562473,24.0898647900453,23.237380333798,28.9097229768717,34.9821151103558
"144","El Salvador","X2004",0.658392774013301,24.747579225827,25.4059719998403,26.6761995030986,30.4991432267644
"145","El Salvador","X2005",1.7890202700126,24.5808861493798,26.3699064193924,24.9542733006022,28.2355318312539
"146","El Salvador","X2006",-2.1025773966548,24.1593363050149,22.0567589083601,17.8012182631538,33.519411169712
"147","El Salvador","X2007",3.4069542014872,22.338828018017,25.7457822195042,26.489635072734,28.0731607781533
"148","El Salvador","X2008",-2.6920978857484,23.5086711722347,20.8165732864863,29.1610016812254,32.6427344639159
"150","El Salvador","X2010",-3.9678837594373,24.4062267126498,20.4383429532125,27.1342373200341,31.7482739690861
"201","Guatemala","X2001",6.8951436679309,21.4413603183336,28.3365039862645,22.3528487141431,24.5693946083363
"202","Guatemala","X2002",1.4531884263673,21.2702812483275,22.7234696746948,13.2757562468732,24.5741310441538
"203","Guatemala","X2003",-0.139037630814197,20.5979688875135,20.4589312566993,21.7186025662195,28.8472319145613
"204","Guatemala","X2004",-0.303391213861701,20.7213332925538,20.4179420786921,15.3063564414904,20.067567712794
"205","Guatemala","X2005",-1.1912870846734,20.6901003417824,19.498813257109,19.9575745676523,27.3763072880681
"206","Guatemala","X2006",2.8119897125726,19.6673744465107,22.4793641590833,21.6059827954438,26.4841785609947
"207","Guatemala","X2007",-2.3199006095929,19.6375467447008,17.3176461351079,11.8129397785061,22.2371420633109
"210","Guatemala","X2010",0.699422763013299,19.3945467340992,20.0939694971125,24.1598531061618,22.0149623955873
"302","Nicaragua","X2002",-4.1535246082556,18.9664171494206,14.812892541165,20.4116758643673,20.3723178016677
"306","Nicaragua","X2006",-3.1388439943767,19.0458952180034,15.9070512236267,19.0522842877022,18.0682093493246
"307","Nicaragua","X2007",1.1967404423321,18.6932747753703,19.8900152177024,13.5457384490162,21.4255646305887
"310","Nicaragua","X2010",1.8891749503459,18.8711364195432,20.7603113698891,19.0415907761349,21.0764439569143
"321","Panamá","X2001",1.4731791363984,21.5340811001931,23.0072602365915,28.4693387742418,18.9200459619602
"322","Panamá","X2002",-0.689572310404401,22.0195741145335,21.3300018041291,20.3996620164515,24.6901562994188
"326","Panamá","X2006",-1.6112664280189,21.1298263041827,19.5185598761638,29.7579451473985,22.8603426488229
"327","Panamá","X2007",8.4687618019506,20.9492767841772,29.4180385861278,27.5766585108072,23.69949181663
"328","Panamá","X2008",1.7586088499356,21.2254469046573,22.9840557545929,25.6789684926769,14.9625386263295
"329","Panamá","X2009",0.7239798732849,19.6008516797858,20.3248315530707,26.6183060015252,36.1685752036811
"330","Panamá","X2010",6.7818997050378,18.0346678628068,24.8165675678446,18.0469589367788,19.3628269435991
"331","Perú","X2001",0.0840515628700018,16.1075720325868,16.1916235954568,18.1154534883478,11.1066790244666
"332","Perú","X2002",0.3930724024002,16.95687475212,17.3499471545202,17.9030005066844,17.7747164557047
"385","Rep. Dominicana","X2005",-2.9218054632459,23.2573711062821,20.3355656430362,27.8458497192918,27.2475219820801
"386","Rep. Dominicana","X2006",0.209257290313602,23.7442414618161,23.9534987521297,31.1995962096818,29.522037400054
"387","Rep. Dominicana","X2007",2.8044604936879,22.7267997691117,25.5312602627996,24.9659726638488,26.5057906092806
"388","Rep. Dominicana","X2008",3.5925838906588,23.0943599337205,26.6869438243793,25.3717363993546,28.0507421348454
"389","Rep. Dominicana","X2009",0.0805505134143019,24.1825916610903,24.2631421745046,23.3261402090542,28.8684580162796
"390","Rep. Dominicana","X2010",5.4039088485224,22.4425065881445,27.8464154366669,25.1814681058317,26.7516554456413
