"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"1","Alemania",26.53,22.41,22.1,23.57,26.19,25.06,23.52,23.88,27.27,26.18
"2","Argentina",11,14.22,14.23,14.54,14.55,12.99,13,17,16.94,17
"3","Australia",17.5,15.33,13.79,16.48,19.02,21.54,16.34,14.88,17.79,14.44
"4","Austria",28.93,26.35,26.23,29.5,24.37,28.62,27.47,28.67,30.32,29.84
"5","Bélgica",29.95,25.39,22.04,23.96,25.94,26.11,23.75,24.87,28.04,26.91
"6","Bolivia",25.39,26.5981828113773,25.27,21.09,23.77,20.56,22.37,23.95,20.9257699187137,19.1202812620643
"7","Brasil",11.01,11,8.99,7.65,7.64,7.63,7.65,8.64,9,9
"8","Canadá",20.53,14.93,16.55,18.57,20.26,19.66,13.19,13.61,17.15,12.64
"9","Chile",19.55,19.54,19.55,19.56,19.56,19.5,20.1,20.1,20.1,20.1
"10","China",23.68,21.518452827367,24.54,22.41,21.2330015817599,17.4770639414686,11,20.71,22.36,22.34
"11","Colombia",7.39,7.35,7.4,5.33,5.44,5.49,5.61,5.59,5.59,5.6
"12","Corea del Sur",6.83,6.73,6.47,7.04,7.23,7.34,7.93,8,8.53,7.95
"13","Costa Rica",18.74,13.770992096627,15.36,14.61,15.13,15.24,13.9,15.46,11.29,16.35
"14","Dinamarca",34.08,31.19,30.79,31.56,32.1,31.58,31.48,31.02,32.74,31
"15","El Salvador",24.89,23.237380333798,26.77,25.4059719998403,26.3699064193924,22.0567589083601,25.7457822195042,20.8165732864863,28.09,20.4383429532125
"16","España",12.38,8.71,8.98,11.77,14.35,17.38,16.69,13.54,18.45,19.34
"17","EUA",16.46,15.09,13.47,13.57,13.97,13.64,13.75,13.76,13.7,13.54
"18","Finlandia",30.73,10.72,26.91,28.35,29.96,28.32,26.28,26.8,28.99,27.42
"19","Francia",22.72,23.69,23.68,23.68,24.2,22.27,23.83,23.83,25.29,24.38
"20","Grecia",18.22,15.91,15.9,16,16,16,16,19.11,22.64,20.47
"21","Guatemala",28.3365039862645,22.7234696746948,20.4589312566993,20.4179420786921,19.498813257109,22.4793641590833,17.3176461351079,19.46,19.18,20.0939694971125
"22","Holanda",28.17,26.98,24.27,27.26,31.75,36.38,24.36,28.96,31.31,30.94
"23","Hungría",30.63,34.7,35.64,35.59,36.75,38.33,37.22,38.83,41.96,38.59
"24","India",16.56,22.85,22.46,21.05,22.85,12,12,12,12,12
"25","Irlanda",13.33,9.87,10.27,11.11,10.7,11.01,10.23,10.94,16.71,14.67
"26","Israel",21.57,20.73,13.87,14.39,15.48,15.33,15.61,11.07,15.7,12.89
"27","Italia",0,0,0,0,22.46,22.93,25.81,26.46,26.34,24.65
"28","Japón",16.89,15.35,14.73,13.44,15.24,16.23,13.17,13.3,15.97,15.79
"29","Malasia",11,10.98,10.99,10.17,10.25,11.03,11.05,11.5,10.91,8
"30","México",3.68,9.05,9.04,9.34,9.1,9.61,9.84,5.68,14.04,11.59
"31","Nicaragua",16.62,14.812892541165,19.15,19.9,18.54,15.9070512236267,19.8900152177024,18.13,18.33,20.7603113698891
"32","Noruega",26.85,24.05,25.82,26.26,26.16,26.82,25.89,26.39,30.91,26.93
"33","Panamá",23.0072602365915,21.3300018041291,23.46,23.62,21.15,19.5185598761638,29.4180385861278,22.9840557545929,20.3248315530707,24.8165675678446
"34","Perú",16.1916235954568,17.3499471545202,26.64,22.65,24.53,20.34,13.01,12.99,12.99,13
"35","Polonia",32.92,32.88,32.93,32.99,33.16,31.77,30.93,25.97,26.13,24.7
"36","Portugal",16.07,16.1,14.52,15.39,15.23,14.91,13.69,13.9,15.42,15.49
"37","Reino Unido",18.83,20.78,21.59,22.02,23.93,23.69,22.18,23.15,23.17,22.54
"38","Rep. Checa",18.44,20.06,18.89,19.74,23.6,20.1,18.71,12.5,15.78,13.43
"39","Rep. Dominicana",25.04,22.89,23.13,25.71,20.3355656430362,23.9534987521297,25.5312602627996,26.6869438243793,24.2631421745046,27.8464154366669
"40","Rusia",13.02,12.98,13,13.01,13,13,13,13,13,12.41
"41","Sudáfrica",5.52,0,0,0,0,1,0,0,1,1
"42","Suecia",31.1,0,29.11,29.75,29.43,28.62,24.83,24.22,26.35,23.33
"43","Suiza",12.5,12,11.26,12.18,6.42,6.34,6.31,6.25,10.46,9.78
"44","Tailandia",3,4,3.99,5.01,4.99,4.98,5,4.99,5,5
"45","Turquía",27.92,18.56,18.47,28.35,28.34,28.36,28.35,29.64,29.9,29.34
"46","Venezuela",5.5,3.99,5.51,5.5,5.49,5.5,5.5,5.49,5.5,5.5
