"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",5,5,5,5,5,4,4,4,4,4,4
"2","Argentina",3,3,3,3,3,3,3,3,3,3,3
"3","Australia",4,4,4,4,4,4,4,4,4,4,4
"4","Austria",4,4,4,4,4,4,4,4,4,4,4
"5","Bélgica",5,5,5,5,5,5,5,5,5,5,5
"6","Bolivia",3,3,3,4,4,3,4,4,3,3,3
"7","Brasil",2,2,2,2,2,2,2,3,3,3,3
"8","Canadá",5,5,5,5,4,4,4,4,4,4,4
"9","Chile",4,4,4,4,4,4,4,4,4,4,4
"10","China",3,3,3,3,3,3,3,3,3,3,3
"11","Colombia",2,2,2,2,3,3,3,3,3,3,3
"12","Corea del Sur",3,3,3,3,3,3,3,3,3,3,3
"13","Costa Rica",3,4,3,4,4,4,3,5,4,4,5
"14","Dinamarca",5,5,5,5,5,5,5,5,5,5,5
"15","El Salvador",3,3,3,3,3,4,3,3,4,3,5
"16","España",4,4,4,4,4,4,4,4,4,4,4
"17","EUA",5,5,4,4,4,4,4,4,4,4,4
"18","Finlandia",5,5,5,5,5,5,5,5,5,5,5
"19","Francia",5,5,5,5,5,5,5,5,5,5,5
"20","Grecia",4,4,4,4,4,4,4,4,4,3,3
"21","Guatemala",4,4,3,3,4,4,3,3,3,3,3
"22","Holanda",5,5,5,5,5,5,5,5,5,5,5
"23","Hungría",3,3,3,3,3,3,3,3,3,3,3
"24","India",2,2,2,2,2,2,2,2,2,2,2
"25","Irlanda",4,4,4,4,4,4,4,4,4,4,4
"26","Israel",4,4,4,4,4,4,4,4,4,4,4
"27","Italia",3,3,3,3,3,3,3,3,3,3,3
"28","Japón",4,4,4,4,4,4,4,4,4,4,4
"29","Malasia",3,3,3,3,3,4,4,4,4,4,4
"30","México",3,3,3,3,3,3,3,3,3,3,3
"31","Nicaragua",3,4,4,4,4,4,4,4,4,4,4
"32","Noruega",5,5,5,5,5,5,5,5,5,5,5
"33","Panamá",4,3,5,3,4,4,5,5,4,4,4
"34","Perú",3,3,3,3,3,3,3,3,3,3,3
"35","Polonia",4,4,4,4,4,4,4,4,4,4,4
"36","Portugal",3,3,3,3,3,3,3,3,3,3,3
"37","Reino Unido",5,4,4,4,4,4,4,4,4,4,4
"38","Rep. Checa",3,3,3,3,3,3,3,3,3,3,3
"39","Rep. Dominicana",3,3,3,4,3,3,3,3,4,3,4
"40","Rusia",3,3,3,3,3,3,3,3,3,3,3
"41","Sudáfrica",4,4,4,4,4,4,4,4,4,4,4
"42","Suecia",5,5,5,5,5,5,5,5,5,5,5
"43","Suiza",5,5,5,5,5,5,5,5,5,5,5
"44","Tailandia",3,3,3,3,3,3,3,3,3,3,3
"45","Turquía",2,2,2,2,2,3,3,3,3,3,3
"46","Venezuela",3,3,3,3,3,3,3,3,3,3,3
